Nama Program / Kegiatan / Sub Kegiatan,Anggaran (Rp),Realisasi Keuangan (Rp),Realisasi Keuangan %,Realisasi Fisik (%)
PROGRAM PENINGKATAN DIVERSIFIKASI DAN KETAHANAN PANGAN MASYARAKAT,,,,
PENGEMBANGAN SISTEM DISTRIBUSI DAN STABILITAS HARGA PANGAN,"11,571,130,000 ","11,119,789,500 ",96.10,100.00
Jumlah Gabungan Kelompok Tani (Gapoktan) yang diberdayakan,"4,562,837,000 ","4,409,210,500 ",96.63,100.00
- Belanja barang,"1,112,837,000 ","959,210,500 ",86.20,100.00
- Belanja bansos,"3,450,000,000 ","3,450,000,000 ",100.00,100.00
Jumlah Lumbung Pangan yang diberdayakan,"6,581,429,000 ","6,312,182,400 ",95.91,100.00
- Belanja barang,"1,541,429,000 ","1,272,182,400 ",82.53,100.00
- Belanja bansos,"5,040,000,000 ","5,040,000,000 ",100.00,100.00
Laporan Kondisi Harga Pangan Pokok,"395,764,000 ","381,699,800 ",96.45,100.00
Laporan Pengembangan Model Distribusi dan Cadangan Pangan,"31,100,000 ","16,696,800 ",53.69,100.00
PENGEMBANGAN KETERSEDIAAN DAN PENANGANAN RAWAN PANGAN,"2,936,855,000 ","2,768,697,900 ",94.27,96.98
Jumlah Desa Mandiri Pangan (DMP) yang diberdayakan,"1,248,814,000 ","1,238,094,000 ",99.14,100.00
"Lokasi Penanganan Rawan Pangan, SKPG","566,073,000 ","553,031,000 ",97.70,100.00
Laporan Hasil Penyusunan FSVA,"37,274,000 ","24,458,000 ",65.62,100.00
Jumlah Kawasan Mandiri Pangan (KMP) yang diberdayakan,"600,000,000 ","589,710,500 ",98.29,100.00
Laporan Kajian Kerawanan Pangan,"198,700,000 ","107,102,000 ",53.90,55.36
Laporan Kajian Ketersediaan Pangan dan Akses Pangan,"76,921,000 ","62,861,800 ",81.72,100.00
"Pemantauan, Monitoring, Evaluasi Desa Mandiri Pangan","209,073,000 ","193,440,600 ",92.52,100.00
PENGEMBANGAN PENGANEKARAGAMAN KONSUMSI PANGAN DAN PENINGKATAN KEAMANAN PANGAN SEGAR,"7,744,969,000 ","7,681,043,942 ",99.17,100.00
Pendampingan P2KP (Percepatan Peganekaragaman Konsumsi Pangan),"6,338,697,000 ","6,289,771,742 ",99.23,100.00
- Belanja barang,"2,876,697,000 ","2,827,771,742 ",98.30,100.00
- Belanja bansos,"3,462,000,000 ","3,462,000,000 ",100.00,100.00
"Pemantauan, Monitoring, Evaluasi dan Perumusan Kebijakan P2KP","336,634,000 ","336,506,000 ",99.96,100.00
Laporan Promosi P2KP,"107,192,000 ","107,119,000 ",99.93,100.00
Situasi Konsumsi Pangan Penduduk,"109,806,000 ","109,806,000 ",100.00,100.00
Hasil Penanganan Keamanan Pangan Segar,"470,754,000 ","457,246,200 ",97.13,100.00
Pengembangan Pangan Pokok Lokal,"381,886,000 ","380,595,000 ",99.66,100.00
DUKUNGAN MANAJEMEN DAN TEKNIS LAINNYA BADAN KETAHANAN PANGAN,"1,585,329,000 ","1,512,463,457 ",95.40,100.00
"Dokumen Perencanaan, Penganggaran dan Laporan Keuangan","239,717,000 ","223,874,800 ",93.39,100.00
Hasil Pemantauan dan Evaluasi Program,"161,490,000 ","145,032,415 ",89.81,100.00
"Dokumen Kepegawaian, Organisasi, Humas, Hukum","250,000,000 ","250,000,000 ",100.00,100.00
Dukungan Manajemen dan Administrasi,"793,247,000 ","754,258,742 ",95.08,100.00
Dokumen Keuangan dan Pelaporan,"107,875,000 ","106,510,400 ",98.74,100.00
Perangkat Pengolah Data dan Komunikasi,"33,000,000 ","32,787,100 ",99.35,100.00
JUMLAH KEGIATAN,"23,838,283,000 ","23,081,994,799 ",96.83,99.63
